Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",40.123592,5.047173,-149.000000,top
"D2","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",44.897148,19.629643,-90.000000,top
"D3","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",40.123592,34.212113,-31.000000,top
"D4","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",23.695967,34.910729,0.000000,top
"D5","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",7.268343,34.212114,31.000000,top
"D6","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",2.494786,19.629643,90.000000,top
"D7","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",7.268343,5.047173,149.000000,top
"D8","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",23.695967,4.348557,180.000000,top
