Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",8.614000,35.597048,140.000000,top
"D2","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",17.232000,28.365687,140.000000,top
"D3","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",43.086000,35.597048,40.000000,top
"D4","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",34.468000,28.365688,40.000000,top
"D5","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",43.086000,6.671606,-40.000000,top
"D6","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",34.468000,13.902967,-40.000000,top
"D7","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",25.850000,21.134327,-40.000000,top
"D8","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",17.232000,13.902966,40.000000,top
"D9","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",8.614000,6.671606,40.000000,top
