Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",30.403592,4.063242,180.000000,top
"D2","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",46.722494,4.515083,-148.471000,top
"D3","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",28.761488,19.344327,180.000000,top
"D4","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",48.433087,19.344327,180.000000,top
"D5","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",46.717416,34.176338,-31.529000,top
"D6","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",30.403592,34.625413,0.000000,top
"D7","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",14.089766,34.176338,31.528000,top
"D8","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",9.089891,19.344327,90.000000,top
"D9","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",14.089767,4.512315,148.471000,top
