Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D1","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",63.047126,27.484934,-41.982000,top
"D2","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",51.958563,37.462747,-41.982000,top
"D3","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",50.149060,55.178381,-140.175000,top
"D4","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",59.428120,62.916202,-140.175000,top
"D5","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",22.311880,62.916202,140.175000,top
"D6","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",31.590940,55.178381,140.175000,top
"D7","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",40.870000,47.440560,90.000000,top
"D8","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",29.781437,37.462747,41.982000,top
"D9","White","LED_Cree_J-Series_SMD2835_2.8x3.5mm",18.692874,27.484934,41.982000,top
